id,name,Status,Release_Date,Genre,Language,Director,Color,Censor_Details,Censor_Dates,Censor_Certificate_No,Runtime,Certification,Length_in_metres,Banner,Music_Company,Studio,Shooting_Location
4141605,Un - Freedom,Under Production,2016,"Crime, Romance, Drama",Hindi,Raj Amit Kumar,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Dark Frames| 69 Productions,"","",""
664527,Welcome Back,Released,4 Sep 2015,Comedy,Hindi,Anees Bazmee,C,{},31 Aug 2015,DIL/2/180/2015,153 Minutes,U/A,0.0,Swiss Entertainment Pvt Ltd.|  Eros International| Base Industries Group,T-Series,"",""
537925,Aarakshan,Under Production,12 Aug 2011,Social,Hindi,Prakash Jha,C,{},20 Jun 2011,CIL/2/75/2011,Not Available.,U/A,4593.16,Prakash Jha Productions|Base Industries Group,Sony Music,"",""
534507,Khoon Aur Paani,{},10 Apr 1981,"Action, Family Drama",Hindi,Chand,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,A G Films,"","",""
507163,Shaitan,Released,1 Jan 1974,"Suspense, Thriller",Hindi,Feroz Chinoy,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
507675,Rampur Ka Laxman,{},1 Jan 1972,"Musical, Family Drama",Hindi,Manmohan Desai,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"",Saregama-HMV,"",""
504992,Dil Ka Raja,{},1 Jan 1972,Action,Hindi,P Madhavan,C,{},Not Available.,Not Available.,Not Available.,NA,0.0,"","","",""
539916,Mela,{},1 Jan 1971,Family Drama,Hindi,Prakash Mehra,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"",Saregama-HMV,"",""
508309,Patthar Ke Sanam,{},1 Jan 1968,"Romance, Musical",Hindi,Raja Nawathe,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,A G Films,Saregama-HMV,"",""
539821,Mahabharat,{},1 Jan 1965,"Action, Musical",Hindi,Babubhai Mistri,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,A G Films,"","",""
504471,Jeena Iseeka Naam Hai,{},1 Jan 1982,Social,Hindi,P D Shenoy,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
